"","Camk2a","Ccl2","Ccr2","Ccrl2","Col13a1","Ctnna3","Cxcl5","Cxcr2","Gpr65","Grb7","Hif3a","Il18rap","Il19","Il1r1","Il1r2","Itgal","Itln1","Lamb1","Lurap1l","Map3k8","Myt1l","Nos2","Notch4","Nxpe4","Osmr","Otud3","Plau","Ppbp","Procr","Ptpn22","Runx3","Stmn3","Tenm3","Tmem174","Tnfrsf1a"
"Camk2a",1,-0.176495025039376,-0.146030630568158,-0.493561275152723,0.029011787765268,0.0695569534620167,-0.289166872561895,-0.119466191112334,-0.0304685956280816,0.0150310667506276,-0.111631433838574,-0.230196271691168,-0.299063435625168,-0.152898352676597,-0.307507303250696,-0.561823225772719,-0.296565052457284,-0.166151230364263,0.409114136516531,-0.564648143546686,0.287287643460553,-0.0891570612045116,-0.372354248096819,-0.0885957536456978,-0.160334674305989,0.00502571698336586,-0.0292719132786914,-0.46855921230747,-0.251805056439278,-0.189997845788118,-0.374389443373291,-0.155753997705526,-0.282381236860699,0.221920746101328,-0.29297561831722
"Ccl2",-0.176495025039376,1,0.859817367919826,0.476424834649568,0.966286906365123,-0.594789950505405,0.898050767899222,0.807385289200467,0.931371463306541,-0.693113714664812,0.58823954635652,0.939761128321368,0.979287679559109,0.937826039730807,0.863500836638276,0.875381837242121,-0.749657910893625,0.845894143443689,-0.735349310280899,0.682111093148015,-0.817714667437119,0.941928400061569,0.784074960367047,-0.910465199396723,0.942753465133925,0.271824844090002,0.931904946636933,0.805634281331479,0.789877708594313,0.648183758191517,0.778405358105409,-0.180207774947077,0.518655199888456,-0.790171538731388,0.897519508083488
"Ccr2",-0.146030630568158,0.859817367919826,1,0.703276804609336,0.757166903595398,-0.279177378264873,0.777678527252997,0.591991239507513,0.884485740182354,-0.335857468475629,0.540827352544841,0.691767848526238,0.842282322767276,0.74283068995237,0.760343687162349,0.718112063225745,-0.76489843332907,0.701027553978487,-0.749137696114665,0.746212416582708,-0.653329872552675,0.949733062217417,0.578447581897356,-0.814987791706863,0.805809782758045,0.182897211673187,0.701756917822402,0.858556936649288,0.70525376537218,0.91114589206425,0.642725286698217,-0.410915100759213,0.471958830309091,-0.802511671844423,0.781946899295034
"Ccrl2",-0.493561275152723,0.476424834649568,0.703276804609336,1,0.274742513209757,-0.151755220091459,0.704461610791441,0.51816278513632,0.625001609365713,-0.242308115797317,0.736034466726579,0.348330542763275,0.478190202041698,0.534627931754887,0.743589156226681,0.60737158622641,-0.531040746744298,0.651011724548807,-0.725586091479384,0.725095120564218,-0.665855900801779,0.666081252312675,0.643356280055579,-0.508202511057227,0.60829183220487,0.534951543799901,0.398411059187616,0.698723855157391,0.731583762190803,0.860736186851662,0.73368989304227,-0.618199246706613,0.784538343261543,-0.674752843095518,0.703065413369826
"Col13a1",0.029011787765268,0.966286906365123,0.757166903595398,0.274742513209757,1,-0.608732638572002,0.823694650511106,0.786429147389784,0.899901322488218,-0.748131083276038,0.534361156855909,0.914970187748478,0.929509430793949,0.915158974756698,0.782251899048826,0.779098477778168,-0.770194827740392,0.801502499502146,-0.584566319437921,0.543997802159148,-0.765644771500121,0.881259017735085,0.721330452562626,-0.905381147330596,0.899569735545615,0.25132678447288,0.943166285877938,0.682797669949911,0.728883830507065,0.512170629020648,0.686895449535986,-0.0918269305778664,0.430409130161142,-0.677380776773138,0.817446151336619
"Ctnna3",0.0695569534620167,-0.594789950505405,-0.279177378264873,-0.151755220091459,-0.608732638572002,1,-0.667972506193939,-0.85335791615812,-0.507643284324591,0.823848697130935,-0.513100094033359,-0.809931326165315,-0.473962231089178,-0.726914398033617,-0.624160970031846,-0.43554358647468,0.423250967879051,-0.713968989181885,0.698489448578328,0.0236321293104776,0.588439017983895,-0.479818086655321,-0.674719443467179,0.695912164665016,-0.701291786556658,-0.560326543121637,-0.790243326913197,-0.0932083690618689,-0.440667916315379,-0.0133217741893878,-0.704879620760798,0.386955881507274,-0.485027898155132,0.725111166298997,-0.705491116081289
"Cxcl5",-0.289166872561895,0.898050767899222,0.777678527252997,0.704461610791441,0.823694650511106,-0.667972506193939,1,0.939672532301445,0.933149718753001,-0.809976711005224,0.862904170684359,0.864062399371792,0.856218548755731,0.974684732495255,0.995820152116938,0.875785850845963,-0.794130098395671,0.983688098225024,-0.821780590533705,0.67954438433191,-0.966859805196608,0.912576589423743,0.957740858480326,-0.908835875244345,0.984455963891817,0.635969053292637,0.923118719200834,0.745564202046531,0.939703728903653,0.688172232541404,0.971513563595607,-0.426492750641783,0.836117623468888,-0.844367187316287,0.996742024144834
"Cxcr2",-0.119466191112334,0.807385289200467,0.591991239507513,0.51816278513632,0.786429147389784,-0.85335791615812,0.939672532301445,1,0.841976514819448,-0.926834612021521,0.853271008529627,0.864011181255398,0.714818662096756,0.952666315034084,0.925894638925641,0.713943825687503,-0.765200486611282,0.973243119892287,-0.77927789297778,0.395221776385329,-0.909373821068829,0.793845507456376,0.929467682141327,-0.906679353291071,0.944010343068132,0.749394736037218,0.945838312156507,0.480420964953099,0.837671721104386,0.452505311052872,0.94431736481124,-0.489464369968623,0.811075490872613,-0.823290772671069,0.947146739229449
"Gpr65",-0.0304685956280816,0.931371463306541,0.884485740182354,0.625001609365713,0.899901322488218,-0.507643284324591,0.933149718753001,0.841976514819448,1,-0.710232992832218,0.788633608013487,0.808396671165744,0.884407021222594,0.941964161573655,0.923122608054274,0.799576254746805,-0.924827323722397,0.918698128796843,-0.70074557167298,0.686810306681157,-0.888465948677574,0.983826007271599,0.823134273991517,-0.956334511326796,0.961560888659746,0.496165533531438,0.911554277034274,0.786334850239303,0.905132204402799,0.789342285367687,0.832357459718312,-0.398471979325343,0.702379563273017,-0.782345643455804,0.921578090269489
"Grb7",0.0150310667506276,-0.693113714664812,-0.335857468475629,-0.242308115797317,-0.748131083276038,0.823848697130935,-0.809976711005224,-0.926834612021521,-0.710232992832218,1,-0.765088101875738,-0.778842906730036,-0.615083962542054,-0.875889383501363,-0.797958046618019,-0.634142249474332,0.656729527809903,-0.874294634736975,0.507168348848788,-0.261312610910859,0.85249176719013,-0.609091395867356,-0.877090011327348,0.775981133226741,-0.823679343570287,-0.720114033315302,-0.888613510164143,-0.32090617241586,-0.760190181201469,-0.188390073345836,-0.824624377929348,0.230716807617585,-0.717884118181296,0.56152332950768,-0.800971972254673
"Hif3a",-0.111631433838574,0.58823954635652,0.540827352544841,0.736034466726579,0.534361156855909,-0.513100094033359,0.862904170684359,0.853271008529627,0.788633608013487,-0.765088101875738,1,0.530770678827202,0.518079449060157,0.79981496682855,0.895906048323352,0.612458764077926,-0.805452235782373,0.913908013788591,-0.611547759487375,0.499014723566161,-0.909059831323929,0.716554170465681,0.887719326020433,-0.755265564474247,0.811146062163714,0.904858063881629,0.722753085086349,0.499659308199507,0.918810159278134,0.625618973557418,0.905521572927403,-0.610674333830403,0.979789624867533,-0.644557824114328,0.845752040574165
